S548,M274,Cercle Brugge,10,5,3,,4,0
S549,M275,Charleroi,7,1,8,,0,0
S550,M275,Kortrijk,8,4,1,,5,0
S551,M276,Mouscron,12,5,10,,1,0
S552,M276,Eupen,7,4,5,,4,0
S553,M277,Standard,20,9,9,,3,0
S554,M277,St Truiden,9,7,1,,3,0
S555,M278,Club Brugge,11,9,7,,2,0
S556,M278,Anderlecht,10,1,2,,2,0
S557,M279,Genk,13,6,10,,2,0
S558,M279,Waasland-Beveren,13,7,5,,4,0
S559,M280,Gent,16,6,19,,1,0
S560,M280,Lokeren,7,5,4,,0,0
S561,M281,Waregem,19,7,2,,5,0
S562,M281,Club Brugge,23,13,6,,1,0
S563,M282,Charleroi,12,9,4,,2,0
S564,M282,Mouscron,5,1,5,,6,0
S565,M283,Eupen,10,5,2,,1,0
S566,M283,Standard,5,3,5,,2,0
S567,M284,Lokeren,7,5,5,,1,0
S568,M284,Waasland-Beveren,10,5,5,,4,0
S569,M285,St Truiden,13,5,6,,2,0
S570,M285,Oostende,6,3,3,,2,0
S571,M286,Anderlecht,9,4,4,,1,0
S572,M286,Antwerp,9,2,5,,3,0
S573,M287,Cercle Brugge,1,0,7,,4,0
S574,M287,Gent,8,7,5,,3,0
S575,M288,Kortrijk,8,6,5,,3,0
S576,M288,Genk,17,11,6,,2,1
S577,M289,Club Brugge,13,7,9,,2,0
S578,M289,Lokeren,4,2,5,,5,0
S579,M290,Genk,12,5,9,,3,0
S580,M290,Anderlecht,13,5,5,,1,0
S581,M291,Oostende,12,6,6,,3,0
S582,M291,Cercle Brugge,11,7,7,,2,0
S583,M292,Standard,8,6,5,,3,1
S584,M292,Charleroi,10,4,9,,4,0
S585,M293,Waasland-Beveren,15,6,2,,4,0
S586,M293,Eupen,7,3,7,,2,0
S587,M294,Antwerp,15,6,4,,2,0
S588,M294,Waregem,5,2,1,,0,1
S589,M295,Gent,15,5,12,,1,0
S590,M295,St Truiden,10,6,1,,4,1
S591,M296,Mouscron,14,5,6,,1,0
S592,M296,Kortrijk,8,3,10,,0,0
S593,M297,Waregem,9,5,3,,1,0
S594,M297,Kortrijk,9,4,2,,2,0
S595,M298,Eupen,6,3,6,,4,0
S596,M298,Oostende,6,3,2,,2,0
S597,M299,Lokeren,7,1,3,,2,0
S598,M299,Mouscron,13,6,11,,2,0
S599,M300,St Truiden,12,5,3,,2,0
S600,M300,Antwerp,9,3,9,,2,0
S601,M301,Waasland-Beveren,13,4,3,,4,0
S602,M301,Charleroi,9,5,5,,1,2
S603,M302,Anderlecht,13,7,10,,2,0
S604,M302,Standard,7,3,4,,2,0
S605,M303,Cercle Brugge,7,3,1,,2,0
S606,M303,Genk,15,7,4,,2,0
S607,M304,Gent,19,7,9,,1,0
S608,M304,Club Brugge,11,8,3,,3,0
